id,physical_description,size_cp,size,menu_format,unit
25501,BROADSIDE; ILLUS; COL; 5.6X8.25;, 5.6x8.25,5.6x8.25,,
25502,CARD; 4 X 7.5;, 4 x 7.5,4x7.5,,
25503,CARD; ILLUS; 6.5 X 10;, 6.5 x 10,6.5x10,,
25505,CARD; 4.5 X 7;, 4.5 x 7,4.5x7,,
25507,BOOKLET;ILLUS;COL;5X6.25;,5x6.25,5x6.25,,
25508,CARD; 5X8;, 5x8,5x8,,
25509,FOLDER;5X7.25;,5x7.25,5x7.25,,
25510,DOUBLE CARD; COL; 5 X 7;, 5 x 7,5x7,,
25511,FOLDER;ILL;COL;4.5X7.25;,4.5x7.25,4.5x7.25,,
25513,FOLDER; 6X10;, 6x10,6x10,,
25514,CARD; ILLUS; 6 X 9;, 6 x 9,6x9,,
25516,BOOKLET; ILLUS; 5.50  x 7.75;, 5.50  x 7.75,5.50x7.75,,
25517,CARD; 6.5 X 7.5;, 6.5 x 7.5,6.5x7.5,,
25518,CARD; ILLUS; COL; 8.75X12.75;, 8.75x12.75,8.75x12.75,,
25519,FOLDER; 6.75X10.5, 6.75x10.5,6.75x10.5,,
25520,FOLDER;5X7;,5x7,5x7,,
25521,BOOKLET; ILLUS; COL; 4.5X7;, 4.5x7,4.5x7,,
25523,FOLDER; ILLUS;7 X 9.25;,7 x 9.25,7x9.25,,
25526,FOLDER; CL; ILLUS; 5.5 X 7;, 5.5 x 7,5.5x7,,
25528,BOOKLET; ILLUS; COL; 4.75X6;, 4.75x6,4.75x6,,
25529,CARD; 6 X 8.5;, 6 x 8.5,6x8.5,,
